Event ID,dd/MM/yyyy HH:mm,Performative,Sender,Receiver,Objet,Lieu
14,28/07/1926 08:00,inform,THGL,RFBN,debordement,Ai Mo
14,28/07/1926 08:00,inform,THGL,TDBN,debordement,Ai Mo
AC23,28/07/1926 10:00,delegate,TTaGL,LyCL,construire diguette,Cu Linh
AC23,28/07/1926 10:00,execute,LyCL,System,construire diguette,Cu Linh
TT6,28/07/1926 10:00,delegate,TTaGL,TLGT,construire diguette,Gia Thuy
TT6,28/07/1926 10:00,execute,TLGT,System,construire diguette,Gia Thuy
TT6,28/07/1926 10:00,delegate,TTaGL,TLDT,mobiliser coolies,Da Ton
TT6,28/07/1926 10:00,delegate,ATTP,TLDT,mobiliser coolies,Da Ton
TT6,28/07/1926 10:00,execute,TLDT,System,mobiliser coolies,Da Ton
TT6,28/07/1926 10:00,cfp,TTaGL,THGL,demande de materiel,Da Ton
AC34,28/07/1926 12:00,execute,LyCL,System,surveiller,Cu Linh
AC34,28/07/1926 12:00,inform,System,coolies,eau monte,Cu Linh
AC34,28/07/1926 12:00,execute,coolies,System,elever digue,Cu Linh
TT7,28/07/1926 13:00,delegate,RFBN,THGL,construire diguette,Giang Cao
TT7,28/07/1926 13:00,delegate,THGL,TLGT,construire diguette,Gia Thuy
TT7,28/07/1926 13:00,delegate,THGL,TLCL,construire diguette,Cu Linh
TT7,28/07/1926 13:00,delegate,THGL,TLDT,construire diguette,Da Ton
TT7,28/07/1926 13:00,delegate,THGL,TLDD,construire diguette,Dong Du
TT7,28/07/1926 13:00,execute,TLGT,System,construire diguette,Gia Thuy
TT7,28/07/1926 13:00,execute,TLCL,System,construire diguette,Cu Linh
TT7,28/07/1926 13:00,execute,TLDT,System,construire diguette,Da Ton
TT7,28/07/1926 13:00,execute,TLDD,System,construire diguette,Dong Du
TT7,28/07/1926 13:00,execute,THGL,System,surveiller,Da Ton
TT7,28/07/1926 13:00,execute,THGL,System,surveiller,Dong Du
TT7,28/07/1926 13:00,inform,RFBN,THGL,rencontre,Xuân Quan
TT7,28/07/1926 13:00,inform,THGL,RFBN,rencontre,Xuân Quan
TT8,28/07/1926 13:00,delegate,THGL,TTaGL,verifier digue,Gia Quat
TT8,28/07/1926 13:00,execute,TTaGL,System,verifier digue,Gia Quat
AC10,28/07/1926 16:00,delegate,TTaGL,LyLD,construire diguette,Lam Du
AC10,28/07/1926 16:00,execute,LyLD,System,construire diguette,Lam Du
AC10,28/07/1926 16:00,execute,TTaGL,System,surveiller,Lam Du
TT9,28/07/1926 16:15,delegate,TTaGL,NoAM,mobiliser coolies,Ai Mo
TT9,28/07/1926 16:15,refuse,NoAM,TTaGL,mobiliser coolies,Ai Mo
TT9,28/07/1926 16:15,delegate,TTaGL,ACGL,envoyer police,Ai Mo
TT9,28/07/1926 16:15,execute,ACGL,System,envoyer police,Ai Mo
R6,28/07/1926 16:15,inform,System,RFBN,ordres non respectes,Ai Mo
R6,28/07/1926 16:15,delegate,RFBN,TLGT,surveiller,Gia Thuy
R6,28/07/1926 16:15,delegate,RFBN,TLCL,surveiller,Cu Linh
R6,28/07/1926 16:15,delegate,RFBN,TLDT,surveiller,Da Ton
R6,28/07/1926 16:15,delegate,RFBN,TLDD,surveiller,Dong Du
R6,28/07/1926 16:15,delegate,RFBN,LyGT,surveiller,Gia Thuy
R6,28/07/1926 16:15,delegate,RFBN,LyCL,surveiller,Cu Linh
R6,28/07/1926 16:15,delegate,RFBN,LyDT,surveiller,Da Ton
R6,28/07/1926 16:15,delegate,RFBN,LyDD,surveiller,Dong Du
R7,28/07/1926 16:15,delegate,RFBN,TTaGL,renouveler ordres,?
R8,28/07/1926 16:15,execute,THGL,System,reparer digue,Co Bi
R8,28/07/1926 16:15,execute,AC,System,mobiliser coolies,Xuân Quan
R8,28/07/1926 16:15,execute,AC,System,mobiliser coolies,Kim Quan
5465,28/07/1926 16:30,delegate,TTaGL,machin,renouveler ordres,?
